issuer_id,raise_target_usd,token_supply_goal,enable_referrals,notification_prefs,created_at,updated_at,metadata
51a0663a-3486-42e5-b10a-15489fcd052f,39452,416260,False,,2025-09-02,,
c54c0781-9cca-4ac7-9480-d13ad9e3d53b,997958,365537,False,,2025-10-06,,
647578c1-bc55-4d72-8a12-4bb490354d98,296622,456162,False,,2025-10-20,,
d61c7b86-15ef-4484-ac8c-612793aff52b,910889,529127,False,,2025-01-17,,
0e42c3ae-9a65-496e-a39a-b407b3272d5b,42125,705651,False,,2025-06-05,,
3eaf174c-50bd-4858-90e4-947c9f7eeaea,889660,467343,False,,2025-08-13,,
7a904156-8683-458f-b47d-5c4aab49af45,448774,693568,False,,2025-01-26,,
3f285584-fdc6-48e9-9734-3942d31bacf5,166365,394218,False,,2025-09-15,,
28bcc0c0-0d23-4fef-8276-9f31c7f14e5f,245303,727121,False,,2025-03-02,,
03efff52-d949-452d-b6bf-ac17b531a0c5,189227,174843,False,,2025-07-24,,
ad46becc-3e6b-4282-984d-49231d515a94,723078,811916,False,,2025-02-27,,
b2844c9f-af96-47da-b5c1-82a7fd1ee5e6,960100,525625,False,,2025-01-14,,
846a545c-d9c0-46ab-beb7-62cadfa11990,522785,285698,False,,2025-07-22,,
e1ea9e9c-71a9-4a5f-b478-6da4ec91b1ff,645844,311130,False,,2025-12-04,,
e584e7e2-e828-44ef-bee7-3845beb0ab4f,936907,649578,False,,2025-10-27,,
90e12ca6-63dc-4837-a703-9f8929bcbd14,298751,167993,False,,2025-04-14,,
7d59b7f4-f1ea-4bab-8063-52a4aaf45cf4,184064,329715,False,,2025-09-13,,
1a738623-e241-4d69-bd00-cee9b49634a2,297401,507757,False,,2025-11-07,,
1eedfe20-d53b-4724-a4cd-23334a53e427,763157,882742,False,,2025-12-04,,
ae2ccce2-43da-4fc7-9850-3e08b5e8dc0b,619362,392939,False,,2025-07-11,,
c9899787-f70f-4b60-8a29-934a2fd276c4,631250,211409,False,,2025-10-29,,
e83a1696-a573-4686-b3b4-4e41c493a203,101032,265929,False,,2025-06-15,,
f7081bbd-73e1-4a30-98a3-dc6e26433fcd,930879,612037,False,,2025-09-21,,
94cdbeb5-7f30-4f09-a2c3-369e8d8c0f22,969460,396529,False,,2025-10-14,,
a76e618d-c65c-4e4b-830e-0e334a097270,576946,674101,False,,2025-03-27,,
7eae04df-ab4c-418c-ad30-e1b498a60072,714917,889267,False,,2025-06-02,,
04f64e5a-b7ea-400b-8ad9-30b6e3735150,468934,763306,False,,2025-09-20,,
b411f72e-128d-43ea-bbe5-fc8f04cbe3ea,529807,969659,False,,2025-02-04,,
8265289a-0939-4381-8b05-ca47af825f5e,225967,128842,False,,2025-12-15,,
5fae65c9-2cef-491b-96d6-cadb6975121d,664964,349555,False,,2025-11-15,,
ed4e3f12-9181-4f72-abf4-d7531cf1a53d,388509,621721,False,,2025-02-22,,
502401e1-13c7-40fe-a4d7-2e14b6e6a8a7,101922,565464,False,,2025-01-21,,
