user_id,token_id,quantity,total_value
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,2,24,33.181692
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,13,5,6.16518
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,16,44,64.396745
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,23,17,30.781577
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,35,41,60.049543
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,42,34,36.662319
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,43,48,48.73692
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,46,28,31.113418
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,47,25,45.3642
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,52,3,3.537993
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,58,28,28.458206
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,60,33,34.270566
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,68,35,44.19632
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,72,47,56.623062
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,73,12,15.884838
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,77,14,16.621563
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,79,28,28.730618
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,83,57,77.262839
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,88,48,48.768108000000005
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,90,46,47.202417
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,91,16,18.680696
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,99,16,18.424568
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,102,4,5.257134
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,111,41,43.751674
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,121,39,44.315622
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,133,24,24.488244
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,135,39,49.372011
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,137,9,9.913698
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,145,42,67.795719
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,148,40,64.68958
001d71ca-707e-4a12-bf5a-fb8bec4b16b9,150,2,2.508691
001d729e-faae-4821-a1a7-ca94ef582733,1,18,18.427041
001d729e-faae-4821-a1a7-ca94ef582733,2,24,33.220079
001d729e-faae-4821-a1a7-ca94ef582733,10,1,1.139748
001d729e-faae-4821-a1a7-ca94ef582733,12,7,11.01051
001d729e-faae-4821-a1a7-ca94ef582733,18,28,28.686182
001d729e-faae-4821-a1a7-ca94ef582733,23,1,1.429295
001d729e-faae-4821-a1a7-ca94ef582733,38,45,59.313015
001d729e-faae-4821-a1a7-ca94ef582733,41,21,21.206241
001d729e-faae-4821-a1a7-ca94ef582733,50,14,20.200271
