wallet_id,user_id,eth_balance,usdc_balance,total_token_value,created_at
3b7e6a86-d319-45d6-9698-bad1e58c5d13,2d2c09ce-a753-454d-b4ff-5fde0e7320f9,4.105818,146.256302,1613.145647,2025-07-05
ac41e023-bd96-414f-8bef-afdad8c834e3,626269ae-a69f-4834-a38a-cea8beedc46d,2.648635,219.473099,1261.190362,2025-05-08
804dd2d7-8f9a-49d4-a475-782374c711bc,9a8dc9b4-883d-4792-ac6d-7ec26e748b8d,1.998297,235.204434,1544.236814,2025-11-20
d67bd710-4ecc-4a5d-9980-f856daf9829c,3ff6e12d-54b2-416f-8be6-6e99ec9836a3,4.265446,233.845121,898.674861,2025-08-09
07ea7c65-f044-4896-a786-32879e7e33ed,8cf48ef9-2331-4621-8117-881f6cc0a034,2.950128,28.475279,956.133896,2025-01-16
a456bfb1-0a1c-4b7b-9539-fa375e5149d2,c209a61e-33fa-47b5-b14e-5870322ab9b6,0.269318,485.172105,1321.767814,2025-01-21
d19bc8b4-dfc7-4617-9568-fa298a8f92e3,432cff5c-7c75-4426-8dbe-9dc5c1c50cc0,3.989728,30.493133,801.556248,2025-11-18
c7672f9c-db86-4680-86a4-0ede103231c8,f622e1d5-57bf-4fbb-9866-4e82b12f2cd0,2.201092,259.977171,1087.997813,2025-06-24
49ce9b77-d2a7-45ed-8488-1e5d3973187c,8cb48343-ae6e-43ff-8da1-2118d3950196,4.121626,393.286438,1476.604422,2025-04-19
72ea46f4-0ec4-43da-b6d2-0d1a7027387d,11a2b83f-3365-458a-a459-aca73f129201,2.681336,331.088070,991.6791000000001,2025-04-06
9975544b-1fbc-4cd6-908d-c9dd0b2e2438,155c60d6-e6bd-455b-9460-8a69ea6db19c,2.639211,386.771693,875.9048740000001,2025-01-24
a66c6100-1621-4a68-94a6-a9f1bb007f7c,cd3ac999-825c-421b-86c5-67e50d340ace,4.488045,354.344996,1259.221388,2025-02-02
23d85c07-416b-460f-949c-34545723f705,d7d62620-3b65-4642-96f4-a42d2700c651,3.578313,317.264169,1064.493882,2025-07-18
beaa4663-d401-43e7-8b2b-af0955cacf9b,63be4acf-082e-4948-af7d-ca4672866458,3.625495,473.867728,1064.835792,2025-01-12
579c2e7b-b745-4b84-9c5b-24b177d3d4cb,aaea49ca-70cc-469a-9b8b-7f73ca77987b,3.161263,272.362121,1050.379164,2025-05-04
1219d9af-191a-4751-9a28-d3b8d6958990,d65b583b-90a0-41b2-aad9-7ae241cada46,3.783447,449.827948,1606.4213359999999,2025-12-10
d225183b-4fb5-4f7b-a867-b156241cc4da,e8fbfde9-5950-4853-9946-5e2a64a55c69,1.710945,34.636113,1635.766098,2025-12-02
ef8c4dc5-9191-4545-803a-6a72f7614d9c,9f182900-c66d-48dc-ac3d-684ff80bcc9a,4.376016,16.587176,1243.143899,2025-02-20
fdef7a4e-1f13-4a02-a10e-c185a295c996,b53c6026-0856-43bc-ba84-b3c43dc172e1,3.265236,184.554821,1575.278291,2025-06-15
dae8767f-d9d4-40ac-a6f3-6ca974a06d89,be34836d-0e1a-4d4a-898d-5315e1523316,2.764442,233.465322,1252.850761,2025-01-15
5b10bf80-0dfd-401f-9c97-a0c4b3289e61,322cf772-c998-4577-92fd-e2d543fe6515,2.991091,469.753327,1202.78549,2025-10-17
371ced21-10e8-4f7d-948a-67a0de1b4718,80ff6301-4e39-47fc-9068-ea7feb963a70,4.554658,442.194578,1476.708156,2025-06-20
1a9d97d8-5aa0-4c84-b1bf-aa50859acd69,affab619-b3e4-45d2-8142-50d0c76b4836,1.086922,125.034478,1317.357185,2025-08-26
baa8fe7a-1495-404c-ad55-e2ac3b1058da,29dabaa2-59b6-487b-82a6-a4a08a9bccd7,1.309392,497.502631,966.866732,2025-02-16
be3e461d-a8a0-49d3-90ec-97dc43cc77ed,f968c382-25c6-4e6f-bdf3-29f288c1c8e8,0.754095,385.505488,1075.202375,2025-11-29
dd427923-14f4-42e8-8f0e-d40d72a1888b,2df3dfdc-ee80-43f8-bd7c-db82dc30dd28,4.020717,228.183955,1201.447893,2025-11-03
