social_verif_id,issuer_id,platform,handle,followers_count,verified,initiated_at,completed_at,attempts,status,metadata
4cc6023e-3b05-449a-b1c8-76c23c97a35b,323c257c-8e82-466c-8fa7-ca62e965c655,INSTAGRAM,instagram_1241,861689,True,2025-05-15,2025-09-24,3,PASSED,
688ad350-68b2-488b-bc21-26b5aeb47e48,29b7baca-20aa-45cc-a8fc-009378255e09,YOUTUBE,youtube_1752,399684,True,2025-02-15,2025-01-26,2,PASSED,
7f9f17fe-fbf0-44ae-b91a-19a61dac581c,e0d12416-5304-4d72-a32f-66d442d38997,YOUTUBE,youtube_9584,595501,True,2025-08-17,2025-02-20,3,PASSED,
d9c16859-1689-4e33-b782-ceac0af7aeea,5991cf30-6aad-4eee-950b-c600b44ec2ae,X,x_6853,590783,True,2025-11-24,2025-12-09,2,PASSED,
26f9749f-c8f7-4cdc-9f5e-81ba925baac6,cb5ba7db-ee64-42fd-9271-718c2b1c37e4,INSTAGRAM,instagram_7897,499609,True,2025-10-03,2025-12-07,2,PASSED,
c6ccdb3c-1aa4-4109-bd33-0391393ac457,27a3a54e-c93e-4e17-a4bd-0a6e63954f1a,X,x_7450,333966,True,2025-11-30,2025-10-04,3,PASSED,
bfd0b1a5-6820-4f5b-af56-299d152e192b,834a6f81-c428-41d8-ad30-06b821a1d190,YOUTUBE,youtube_7026,379512,True,2025-10-17,2025-09-29,1,PASSED,
5b766502-84ad-4c95-9b4a-06dc0ec82785,91cb2dbb-ebcc-412f-9607-195cdc36b938,X,x_1483,337183,True,2025-03-21,2025-03-20,3,PASSED,
ada6c714-3bff-4e7e-8215-7bb7cc259bd5,3b998960-f4ec-4672-bef3-791b84d1ed24,X,x_5697,487894,True,2025-08-01,2025-08-15,2,PASSED,
dc1a652d-223b-4416-b89f-f1c652d74d27,ae9b138f-46e5-48ff-9298-7d7d85915403,INSTAGRAM,instagram_6944,803568,True,2025-01-22,2025-08-05,1,PASSED,
a080de8a-3cc3-4b43-a117-52ebc7b9b504,c9501392-143d-4e35-903f-1db92763171b,YOUTUBE,youtube_3688,823998,True,2025-03-28,2025-11-08,1,PASSED,
7d64c0b0-ef8d-4f64-8612-def44d90f512,00734745-16fc-4789-9936-9fb20fc3de65,INSTAGRAM,instagram_7016,535856,True,2025-05-05,2025-07-10,3,PASSED,
19b8bfa1-ba3f-452b-b5b1-71c591eab858,d69ffdcc-c4ca-428b-9671-a99c1272731b,INSTAGRAM,instagram_7536,152081,True,2025-02-01,2025-09-18,2,PASSED,
09d807fc-b5ff-4601-8b44-57ed9154851a,26291e0b-3a14-4417-9669-9d7eb8699250,INSTAGRAM,instagram_7152,36057,True,2025-07-06,2025-08-23,3,PASSED,
b3fb4ba5-fb10-4e25-84d6-8fa16e10ac52,1e227bab-f4f6-4dd8-b4c6-8f53daa5d9b5,YOUTUBE,youtube_6663,610395,True,2025-06-04,2025-11-23,3,PASSED,
c98dd9b2-732a-4887-a1af-fbaad5cc043b,e368a781-a213-473e-a046-40510955908d,X,x_6746,761471,True,2025-11-25,2025-12-30,3,PASSED,
e2a08121-81ab-4574-9084-fc537207bd98,26ef4850-7037-4957-a683-84c0afc34dbf,INSTAGRAM,instagram_7537,86624,True,2025-02-06,2025-10-15,1,PASSED,
8e2293fe-8eb2-4fd0-be3a-d998567d779e,2e2b66fd-2d1b-4dce-9475-8e7a5053a2d7,INSTAGRAM,instagram_2130,20467,True,2025-07-24,2025-09-09,1,PASSED,
d14fb22c-ea52-454a-bf74-a0d6e3cef518,83aaffa8-8008-42e8-99d4-744a9f37fdae,YOUTUBE,youtube_5367,82078,True,2025-03-05,2025-10-28,1,PASSED,
f19f3595-f24f-43f9-aaa9-dd4a1bd3a860,16f11453-6d1c-4bb8-8ebf-df4c064df0c1,YOUTUBE,youtube_4811,879770,True,2025-04-11,2025-04-01,2,PASSED,
742da330-cd7c-4042-9f2f-fe96d9de2029,54903184-5cbe-45ef-9f5e-40ac62dd0145,INSTAGRAM,instagram_1819,141651,True,2025-01-08,2025-12-17,1,PASSED,
a0834f19-b323-4c40-a88b-83780ad3fb2e,1b1e2d25-12e5-4b90-8f81-1cb9f06d3422,YOUTUBE,youtube_6938,45167,True,2025-11-10,2025-11-19,3,PASSED,
c79177e3-6157-4013-a36a-a58949ee15fa,87163e58-831a-42e3-aebe-7d8c08966f69,INSTAGRAM,instagram_6345,79520,True,2025-12-01,2025-01-07,1,PASSED,
4a29804e-4570-4ac8-bc58-3c6ec2a9c95f,d9a2efaf-2a6c-42d1-809e-9533d5a42923,INSTAGRAM,instagram_7452,801148,True,2025-10-12,2025-04-13,3,PASSED,
0b8518d0-c239-4c9f-b8a1-0bf45dfedd79,eaec6ee4-de5a-44e4-af2a-058b03ce1927,INSTAGRAM,instagram_7152,329100,True,2025-09-05,2025-07-27,3,PASSED,
2619dd3d-d6d4-48a0-b353-9908a8c5d3cf,b2b83a1d-cf13-459b-b346-198356327f93,YOUTUBE,youtube_2709,209034,True,2025-04-07,2025-09-10,3,PASSED,
194e9a85-e8d0-400b-b572-60dc81ef5a98,4a3da506-7517-4dd5-92d8-513466b8b757,YOUTUBE,youtube_2910,263281,True,2025-07-06,2025-05-22,1,PASSED,
a87bf661-7d73-4924-a363-f5cb688c4fd5,4c101622-21e4-4414-9a7b-57ba723c4e80,YOUTUBE,youtube_3199,198259,True,2025-08-20,2025-07-13,3,PASSED,
29bf9a00-5759-4226-9050-f3e52c9226ce,a063f3b6-1f1a-4e27-9323-641af2ef22b8,YOUTUBE,youtube_6663,717738,True,2025-12-11,2025-07-09,1,PASSED,
afdfab9e-3fe4-4072-91d9-96c519346454,324a06a5-4906-4d9a-9895-4c109f6055c2,X,x_5223,375559,True,2025-05-22,2025-12-28,3,PASSED,
551246eb-2686-4bdc-a0b1-33ca561c892c,70c86ffd-4242-41b6-8c33-51f7f9828bff,YOUTUBE,youtube_5644,250070,True,2025-11-27,2025-11-03,1,PASSED,
bf13e73c-f9f4-41d2-84bb-45d72fea4262,ea4b04a9-3855-4e74-ac9a-d1bf1fee8150,X,x_5153,820887,True,2025-04-05,2025-04-05,3,PASSED,
4bca5280-c275-4bba-9685-28678d15c644,486287be-ad2b-4485-b36f-39acb2f5043d,X,x_6468,796855,True,2025-06-17,2025-03-19,1,PASSED,
8e26c6cf-a6a9-485e-9735-ab01476ea58f,26642e49-cadc-4ec8-836e-700a97ee89a0,YOUTUBE,youtube_9160,973888,True,2025-01-31,2025-03-27,2,PASSED,
dbf07735-8e7b-4d54-8d97-6132182f0852,402d00cd-54db-43d9-ab3a-83f223d693ab,INSTAGRAM,instagram_3323,938574,True,2025-10-11,2025-06-20,1,PASSED,
5ef1aded-80a7-4abe-b34b-8b86a18af069,365cd24d-8fe5-4fe7-8707-df5f96e08ed6,YOUTUBE,youtube_2102,421535,True,2025-08-29,2025-01-20,1,PASSED,
1f72309a-4d92-4554-a0b1-49deac682170,d9f9657f-7b44-4d28-8667-0e1bd750da99,INSTAGRAM,instagram_6522,480643,True,2025-09-05,2025-07-03,1,PASSED,
0a33cdb9-d082-40b5-afdb-979db3d29958,68bdef5f-4b72-4db1-b58c-5ca62caf84e9,X,x_4774,711717,True,2025-08-03,2025-09-08,2,PASSED,
7987e9c4-93b7-47ca-8373-3d71411bffab,f9696dbe-2e51-4d75-822f-6c593c167947,YOUTUBE,youtube_5382,223892,True,2025-09-29,2025-10-02,1,PASSED,
42b2a504-48cd-4bdd-9b98-6c69f46e9fc8,ecddcc67-2fab-43ff-8ada-d45cf93cf4f6,INSTAGRAM,instagram_3508,953129,True,2025-11-24,2025-04-03,2,PASSED,
2ad7456d-4a17-4384-87df-9c1cdc095796,3fa6e31d-9fda-4d5e-95d3-1750903b27bc,X,x_9740,86060,True,2025-06-29,2025-08-27,1,PASSED,
ad3809bc-3f20-4df0-b20c-e8afc3d9b596,6d3a7257-7626-4e64-9ae2-15d932f65792,X,x_5309,265017,True,2025-10-01,2025-09-12,2,PASSED,
780a3347-7377-47c9-a386-c50d02b327eb,8d83c2f8-6db7-4503-b0e8-d1f374d86d8a,X,x_6396,834386,True,2025-03-22,2025-10-14,2,PASSED,
3f6bd775-340b-4da6-815e-81bb6c07b068,a771c417-53fc-48be-9b1d-a6b07afca31e,INSTAGRAM,instagram_3254,908858,True,2025-03-09,2025-09-11,2,PASSED,
55ddd1af-9e8f-4021-96e1-4912cbb6fb1d,c0af8e32-920b-4143-bf0e-4f6e5c5c719a,YOUTUBE,youtube_4893,437941,True,2025-05-21,2025-07-24,1,PASSED,
09750862-cf86-470a-9b4c-6c900d602004,c90f2ec7-e514-4958-b522-575a6658058e,YOUTUBE,youtube_9966,439886,True,2025-03-05,2025-02-28,3,PASSED,
a11d74e6-1607-42c1-b1a1-0554d7ac77cc,d51efebc-01f9-4f9a-97c9-44dc93b08975,X,x_1210,433400,True,2025-10-18,2025-05-16,1,PASSED,
a7380586-34f5-41b2-bac9-be7aa1b51bac,62b61681-7966-4da9-a8e9-2a41d7ab6aa6,X,x_6227,997345,True,2025-01-04,2025-02-21,2,PASSED,
d05f0011-14b3-48af-b1bd-a080dd896241,3f03ab8f-4f83-46c4-8ae9-17da7e30d244,YOUTUBE,youtube_3249,472956,True,2025-10-27,2025-08-30,3,PASSED,
87fc4bf7-660b-4951-9023-b76886075c39,33fe6d61-7f35-41c1-a3a6-a181405ae652,INSTAGRAM,instagram_5853,338958,True,2025-05-25,2025-09-30,1,PASSED,
cca8bb55-3e39-42ea-a034-260b23d25483,89d9b894-cc9f-40bf-a655-375e9d8ef3da,INSTAGRAM,instagram_2171,415336,True,2025-10-19,2025-07-21,1,PASSED,
70389cc7-b498-4e7d-a87a-3f87206f6cd0,c22b42de-4e0f-4185-a206-02ff3566b758,YOUTUBE,youtube_6115,39091,True,2025-05-28,2025-01-31,2,PASSED,
9caf7ed3-f66e-411f-a85a-f6ca1f3fcdd5,ba0fbd33-3f65-42d2-93c4-273f40e66842,YOUTUBE,youtube_3155,280249,True,2025-01-03,2025-01-23,3,PASSED,
baa3485a-3459-4b9b-94dd-536f6e18fd88,efe13eab-3211-4fd6-804a-9a6144e7a538,INSTAGRAM,instagram_7122,279967,True,2025-09-09,2025-08-11,1,PASSED,
b9c40911-584d-49c7-85e9-7089b1529323,21ded554-6878-4e70-a2f8-0132a03ab53a,INSTAGRAM,instagram_3006,892244,True,2025-08-12,2025-09-02,3,PASSED,
5e2523f8-7cad-48de-83cc-922847c40837,58445bec-c2fd-4c90-a00a-9e1b784f75d9,INSTAGRAM,instagram_6778,433629,True,2025-11-06,2025-01-31,1,PASSED,
f4c22d8e-c54c-4878-8b4e-a779e6c59221,87853fa6-c4f7-444c-be13-aab13ca9ecfe,INSTAGRAM,instagram_4561,853098,True,2025-09-01,2025-06-20,3,PASSED,
ec0e1d4a-a6c7-439b-916b-22b111a7508a,ff7bf609-fd6b-4dda-8434-80f4530240dd,INSTAGRAM,instagram_6660,592429,True,2025-02-28,2025-01-25,2,PASSED,
78ca80d0-5b5a-4953-850e-e4ba9086e87c,18d91a74-e847-47e2-a7cf-fb45d7b70763,YOUTUBE,youtube_1931,634172,True,2025-09-09,2025-03-18,3,PASSED,
adbf5aef-85c1-4c39-b531-c225356651cc,c8881d59-a8b4-429d-beed-10a8e60367a6,INSTAGRAM,instagram_2538,565508,True,2025-11-22,2025-01-16,2,PASSED,
81e2a07b-b6c6-4dbd-a45a-a93794848b62,6741d720-6e20-4946-97e7-219dfe3c23f4,X,x_5271,559125,True,2025-07-12,2025-04-24,3,PASSED,
69453e57-db59-4fa4-b019-9dd7680d10fc,36bcf783-9a45-4b4d-9b23-d33eda39c452,YOUTUBE,youtube_1825,329603,True,2025-01-10,2025-08-05,1,PASSED,
9bcaf5ee-7d22-4a69-9bea-ed1db7b1d8ff,80db6332-9921-4fc0-9e8a-56c53d3d987b,INSTAGRAM,instagram_7832,374516,True,2025-03-14,2025-07-06,2,PASSED,
bb0769ec-2536-40c6-adef-5834221cb538,921ff2b1-2ce7-4bf6-aa3c-1f51fad72b81,X,x_8292,432674,True,2025-04-02,2025-10-03,1,PASSED,
8049f622-5a64-40a4-9204-f4c8beab842d,aed942dc-1b16-450e-9557-fe0777e31428,X,x_3903,896770,True,2025-02-05,2025-03-25,1,PASSED,
7d4aae15-3209-4a05-a2f9-0b40de16269a,4ba9515c-691d-4403-9cdd-307d273ec023,YOUTUBE,youtube_6891,615962,True,2025-12-27,2025-04-20,3,PASSED,
