user_id,token_id,quantity,total_value
000d124f-43b5-4b7f-8df1-aabd569ec22b,1,39,46.047729
000d124f-43b5-4b7f-8df1-aabd569ec22b,5,49,63.749049
000d124f-43b5-4b7f-8df1-aabd569ec22b,6,39,42.509961
000d124f-43b5-4b7f-8df1-aabd569ec22b,7,4,5.048018
000d124f-43b5-4b7f-8df1-aabd569ec22b,8,31,33.799238
000d124f-43b5-4b7f-8df1-aabd569ec22b,10,16,17.022856
000d124f-43b5-4b7f-8df1-aabd569ec22b,16,7,8.551718
000d124f-43b5-4b7f-8df1-aabd569ec22b,23,5,5.058765
000d124f-43b5-4b7f-8df1-aabd569ec22b,26,44,52.848422
000d124f-43b5-4b7f-8df1-aabd569ec22b,29,47,48.445297
000d124f-43b5-4b7f-8df1-aabd569ec22b,36,20,22.13969
000d124f-43b5-4b7f-8df1-aabd569ec22b,50,16,16.54556
000d124f-43b5-4b7f-8df1-aabd569ec22b,53,7,7.338905
000d124f-43b5-4b7f-8df1-aabd569ec22b,56,28,45.191902
000d124f-43b5-4b7f-8df1-aabd569ec22b,63,17,19.066044
000d124f-43b5-4b7f-8df1-aabd569ec22b,65,99,122.154675
000d124f-43b5-4b7f-8df1-aabd569ec22b,68,19,27.126889
000d124f-43b5-4b7f-8df1-aabd569ec22b,70,18,22.685445
000d124f-43b5-4b7f-8df1-aabd569ec22b,80,55,75.036565
000d124f-43b5-4b7f-8df1-aabd569ec22b,83,25,25.6923
000d124f-43b5-4b7f-8df1-aabd569ec22b,84,48,50.708664
000d124f-43b5-4b7f-8df1-aabd569ec22b,86,20,21.75191
000d124f-43b5-4b7f-8df1-aabd569ec22b,87,54,63.365301
000d124f-43b5-4b7f-8df1-aabd569ec22b,95,14,17.138373
000d124f-43b5-4b7f-8df1-aabd569ec22b,110,6,6.383157
000d124f-43b5-4b7f-8df1-aabd569ec22b,117,39,56.112253
000d124f-43b5-4b7f-8df1-aabd569ec22b,122,1,1.065619
000d124f-43b5-4b7f-8df1-aabd569ec22b,125,2,2.950199
000d124f-43b5-4b7f-8df1-aabd569ec22b,132,21,24.020199
000d124f-43b5-4b7f-8df1-aabd569ec22b,136,6,7.160649
000d124f-43b5-4b7f-8df1-aabd569ec22b,139,17,23.282404
000d124f-43b5-4b7f-8df1-aabd569ec22b,144,50,86.273875
