issuer_id,wallet_provisioned,wallet_address,wallet_email_sent,dashboard_redirect,oauth_verified_min2,verified_at,created_at,updated_at,metadata
323c257c-8e82-466c-8fa7-ca62e965c655,True,0x6374e7cd6d9942f6a3188ffdb52cff7e,True,True,False,2025-11-21,2025-09-01,,
29b7baca-20aa-45cc-a8fc-009378255e09,True,0xd3ed1d7ba8ae477eaa11b0195459b980,True,True,True,2025-01-27,2025-01-11,,
e0d12416-5304-4d72-a32f-66d442d38997,False,0xa1fb111186064d4289bb7a2ec1b9ab00,True,True,False,2025-02-01,2025-05-02,,
5991cf30-6aad-4eee-950b-c600b44ec2ae,False,0x27200f2203de4195b222de006a445c9d,True,True,False,2025-09-01,2025-11-05,,
cb5ba7db-ee64-42fd-9271-718c2b1c37e4,False,0x31795226b7cf4defbe6e734ab223fd46,True,True,True,2025-02-02,2025-07-24,,
27a3a54e-c93e-4e17-a4bd-0a6e63954f1a,True,0xd7c30c5ceab0400e83bcde74af675d50,True,True,False,2025-08-23,2025-01-14,,
834a6f81-c428-41d8-ad30-06b821a1d190,True,0xbe085d6211ee4d289dca9834ce9f0095,True,True,False,2025-12-30,2025-12-06,,
91cb2dbb-ebcc-412f-9607-195cdc36b938,True,0x55f702b9f23140dbbc15817045870b40,True,True,True,2025-03-16,2025-03-23,,
3b998960-f4ec-4672-bef3-791b84d1ed24,True,0x26eed1515bfa4282b9c4697476f45d4f,True,True,True,2025-07-10,2025-05-15,,
ae9b138f-46e5-48ff-9298-7d7d85915403,False,0x46bc4eee93594344a8392629e99af8e2,True,True,False,2025-11-02,2025-11-27,,
c9501392-143d-4e35-903f-1db92763171b,False,0x8177d79c829d4761a131a4844def8259,True,True,False,2025-10-14,2025-04-07,,
00734745-16fc-4789-9936-9fb20fc3de65,False,0x46f41ed8a1684f7f8200d085f800aeb9,True,True,True,2025-12-04,2025-02-13,,
d69ffdcc-c4ca-428b-9671-a99c1272731b,False,0x8e73a0195a4248a2a292cc0a7bfeb5b1,True,True,False,2025-02-06,2025-01-23,,
26291e0b-3a14-4417-9669-9d7eb8699250,True,0x56ed1f863dfd42ca9be52a9e81ecccc5,True,True,True,2025-04-01,2025-05-10,,
1e227bab-f4f6-4dd8-b4c6-8f53daa5d9b5,False,0x95620260aeef4460a4ade2b4c730b1b4,True,True,False,2025-03-29,2025-03-27,,
e368a781-a213-473e-a046-40510955908d,True,0xf584960fe0c142739e104f33c5ed44a2,True,True,True,2025-07-30,2025-12-01,,
26ef4850-7037-4957-a683-84c0afc34dbf,True,0x135d45acefb3472aa651d10b11e3b59e,True,True,False,2025-12-10,2025-05-22,,
2e2b66fd-2d1b-4dce-9475-8e7a5053a2d7,False,0x7b19f13dd5cd4fcca6c1878a7be8ed5e,True,True,False,2025-04-10,2025-12-10,,
83aaffa8-8008-42e8-99d4-744a9f37fdae,False,0xc1ced092eed14f4283540fcc2cdcbe75,True,True,True,2025-04-18,2025-02-06,,
16f11453-6d1c-4bb8-8ebf-df4c064df0c1,False,0xf6869bbe9d944ba38133d395ed162c93,True,True,False,2025-06-10,2025-01-25,,
54903184-5cbe-45ef-9f5e-40ac62dd0145,True,0xd813ee9a28a14035a2c86ef50465456a,True,True,True,2025-09-10,2025-08-13,,
1b1e2d25-12e5-4b90-8f81-1cb9f06d3422,True,0x1babcb48edc34ed39c4a0032d4105dce,True,True,False,2025-11-04,2025-03-25,,
87163e58-831a-42e3-aebe-7d8c08966f69,False,0xa921efc00d6e45c985916da46f8761c0,True,True,True,2025-09-28,2025-02-03,,
d9a2efaf-2a6c-42d1-809e-9533d5a42923,True,0x8c24f596485c40198a778e9d0e3a9a8d,True,True,True,2025-09-23,2025-11-06,,
eaec6ee4-de5a-44e4-af2a-058b03ce1927,False,0x92145f29eb1b4092903f015d02bb7f11,True,True,False,2025-11-01,2025-09-13,,
b2b83a1d-cf13-459b-b346-198356327f93,True,0x450e93fe46c64da1a9cd20a3ec6aa5ab,True,True,False,2025-02-13,2025-02-13,,
4a3da506-7517-4dd5-92d8-513466b8b757,False,0xd39d32edcdd04c73a7c99d4a2b861c25,True,True,True,2025-01-20,2025-01-05,,
4c101622-21e4-4414-9a7b-57ba723c4e80,False,0x071fa1396e3a4d9490e938d27d241294,True,True,False,2025-04-03,2025-05-29,,
a063f3b6-1f1a-4e27-9323-641af2ef22b8,True,0x9acda04f897e49ad951d22116df708ec,True,True,True,2025-03-25,2025-03-16,,
324a06a5-4906-4d9a-9895-4c109f6055c2,False,0xeb085285dfca43888a3080fa66e57726,True,True,False,2025-07-04,2025-07-21,,
70c86ffd-4242-41b6-8c33-51f7f9828bff,True,0x915ce92275254460ae5df6a5c25c9c64,True,True,False,2025-09-04,2025-01-12,,
ea4b04a9-3855-4e74-ac9a-d1bf1fee8150,True,0x64476b92110243158559403f0a8197ee,True,True,True,2025-05-30,2025-08-10,,
486287be-ad2b-4485-b36f-39acb2f5043d,False,0x28f8cc5f558344a3bbc26b665d88246b,True,True,True,2025-05-14,2025-03-15,,
26642e49-cadc-4ec8-836e-700a97ee89a0,True,0x3ee2c0e00bff4cc3a37c656993baddd4,True,True,False,2025-06-10,2025-10-07,,
402d00cd-54db-43d9-ab3a-83f223d693ab,False,0x11568dea78e54f33945659a6d65dcdd3,True,True,True,2025-08-23,2025-07-31,,
365cd24d-8fe5-4fe7-8707-df5f96e08ed6,False,0xe1ffcfd1a35f4f739d0e39833f7ca793,True,True,True,2025-06-27,2025-02-07,,
d9f9657f-7b44-4d28-8667-0e1bd750da99,False,0xa7cc1c1e59c343dfb335f8e610a43e42,True,True,False,2025-11-11,2025-07-07,,
68bdef5f-4b72-4db1-b58c-5ca62caf84e9,False,0x52a1b0134c6d4db899d99e5af09c514f,True,True,False,2025-11-05,2025-04-10,,
