issuer_id,date,total_amount_usdc
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-01,82.042894
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-03,26.68417
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-05,59.181152
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-06,74.900546
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-07,32.1948
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-08,27.571597
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-09,44.145097
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-11,44.777841
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-12,7.349974
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-13,5.043377
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-14,6.170326
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-15,83.766051
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-16,35.22581
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-20,31.751117
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-21,59.19475
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-22,157.387918
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-23,64.555062
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-24,54.734884
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-25,40.993603
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-26,38.503802
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-27,2.791092
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-29,9.317334
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-01-31,6.150362
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-02,58.641953
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-04,33.593858
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-05,73.248526
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-07,30.635069
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-08,33.076771
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-10,12.200376
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-12,4.7153
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-14,57.829557
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-17,35.594712
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-18,38.000448
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-19,51.933974
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-20,3.84963
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-21,48.805271
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-23,48.470251
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-24,23.50095
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-25,25.386182
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-26,33.147792
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-02-28,10.028021
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-03-01,73.672802
05c833ae-9c4d-495f-a743-c23cde6e0d83,2025-03-02,60.027539
