issuer_id,user_id,sport,team,league,position_primary,position_secondary,multi_sport,biography,profile_completion,created_at,updated_at,metadata
ccaea7d9-bae4-47f5-934a-9cc912f86701,38ad26b6-4111-47ef-8b07-2568328e8250,Basketball,Team_6,Youth,Forward,,False,bio,71,2025-04-06,,
829f67cb-4b53-42f3-822d-84227f11f94e,41022b85-2fea-40c6-a8ec-62fea8bc5c7d,Soccer,Team_2,Youth,Forward,,False,bio,58,2025-01-24,,
a8f13cbb-81c1-499a-ba4b-988768d4281d,a426ef08-8049-476b-9995-5a0a87036ed3,Football,Team_13,Youth,Forward,,False,bio,70,2025-06-13,,
5dd3a85c-70b2-4584-a0a6-52171633dbf7,691d3a41-05c1-474d-9d91-448bab1c99bf,Football,Team_1,Youth,Forward,,False,bio,65,2025-05-03,,
a42957b6-91a0-49c0-836f-05439a624721,861b26d9-2941-428b-83c2-c13a56146f35,Basketball,Team_10,Youth,Forward,,False,bio,93,2025-01-29,,
64c44d8a-9d6b-4168-9f7e-a59f3f80b9b8,938827b5-3dd3-4661-8146-7e0f4faac965,Football,Team_5,Youth,Forward,,False,bio,62,2025-04-20,,
f2d2673f-88a0-42f2-be7d-5bd6004176c9,8b537ac9-a707-484e-8a36-d2fa4b56edff,Basketball,Team_8,Youth,Forward,,False,bio,54,2025-06-25,,
cfad6fe9-7082-47f8-88a9-c7b9b31ef901,47eb6132-4db5-4352-a482-1d3042b829de,Basketball,Team_12,Youth,Forward,,False,bio,79,2025-12-26,,
e0911e54-1a3c-4e22-8223-9eb125eb2cf8,3edc25d7-1b4d-4dd9-b42d-cd854c7d2061,Football,Team_11,Youth,Forward,,False,bio,83,2025-09-10,,
4e945ece-02ac-4e1c-8785-3c1980fe6195,64de4edf-2cca-4dfa-8f6d-e8ee70afb4a1,Soccer,Team_12,Youth,Forward,,False,bio,72,2025-06-07,,
8dc6b418-614c-41b2-8349-698450f8a790,0781d634-e389-4415-b735-99d2ced75580,Soccer,Team_17,Youth,Forward,,False,bio,59,2025-01-04,,
d8cfee6d-5580-4851-80ee-f5417972dcb1,8ae8cb46-37d0-4502-a4f2-653c009c8e4a,Basketball,Team_17,Youth,Forward,,False,bio,65,2025-05-15,,
63f62047-0e35-4391-b1ce-3bdbfb4ac257,2d8acb70-4e78-4b03-b56e-0110b143ce5a,Football,Team_16,Youth,Forward,,False,bio,65,2025-12-18,,
d7b5b786-e157-430c-9b39-34d7dc3750a9,2d7edd8b-ef04-4ce5-ac26-03d82c2e0df6,Basketball,Team_6,Youth,Forward,,False,bio,97,2025-04-24,,
98f84972-7a47-4b62-a782-966fe6184928,97e88441-ddf2-4363-bde1-1ab07c39c9d1,Basketball,Team_14,Youth,Forward,,False,bio,67,2025-12-03,,
6b9c5bd0-79e1-4f6b-8e55-0e1974bcbd6b,7f4e51fa-47c4-469d-9b21-bc7dc8cc8263,Basketball,Team_4,Youth,Forward,,False,bio,97,2025-01-27,,
6ecb086e-4a12-4871-8621-1e6d0e027cce,c24c7688-d172-4632-886e-76a2d77867ff,Basketball,Team_9,Youth,Forward,,False,bio,53,2025-07-12,,
426b59fd-2c6d-48a4-a8ab-da72c6f63a96,167cfe8e-5ce2-4403-a874-cd830c8aba53,Basketball,Team_14,Youth,Forward,,False,bio,88,2025-02-08,,
e4209382-094c-4547-9a24-6df239aa0ca8,227c8a0f-5363-467f-bfd3-757071041ba8,Basketball,Team_3,Youth,Forward,,False,bio,69,2025-12-30,,
54f17d67-9c81-4ec4-9968-fd9c3118a23f,c7e7d6aa-6bef-4974-984e-bc6fe9e663bb,Football,Team_17,Youth,Forward,,False,bio,63,2025-12-23,,
87833cac-5dd3-46da-8cae-3c3648a79b14,1b0cde81-86c1-46b2-88c7-f9fc8d6155c3,Basketball,Team_9,Youth,Forward,,False,bio,68,2025-10-27,,
108f2bec-7e12-4d79-86fa-843506e42a82,347b398b-a3ea-44a7-ae49-cf062bac4c9e,Basketball,Team_7,Youth,Forward,,False,bio,67,2025-01-01,,
44e10f34-d034-4fad-960c-d0a99ae24fda,64511c9e-b7c3-4b8b-bed6-bcfe904c3354,Football,Team_7,Youth,Forward,,False,bio,75,2025-06-29,,
ac3242d2-290b-4a00-9490-0ff80ce2f109,cf0654d6-480f-4de2-96ea-9d9d4f20aa92,Soccer,Team_16,Youth,Forward,,False,bio,100,2025-07-07,,
1bbe744f-6034-440c-a71e-e0e586f7fb4c,737ba889-8181-42e6-a779-7ad05aba1d65,Soccer,Team_18,Youth,Forward,,False,bio,88,2025-04-12,,
9e9cf675-32fb-4649-a9f0-adae7d298ba9,6f25597b-4e89-4a9b-9c80-5dd3eadafa20,Basketball,Team_4,Youth,Forward,,False,bio,96,2025-04-02,,
a9efc097-ee8b-49b4-b9ae-a44f95bb4525,73500680-3e99-41ce-bdc0-9d046983d395,Soccer,Team_18,Youth,Forward,,False,bio,61,2025-01-26,,
3c0887d0-48d7-48af-ae6e-237b288f4f4e,bfc2216e-6dbf-4797-81c6-8b1548ed831c,Basketball,Team_9,Youth,Forward,,False,bio,67,2025-05-27,,
27b5a460-4702-42d8-a3f4-460e12c4fcf2,84888318-53f2-4732-841d-927b79f3fc2e,Basketball,Team_19,Youth,Forward,,False,bio,73,2025-03-07,,
9f80d010-8e02-437b-851c-20eee94e3aec,25274ca4-50bb-4e7d-93a3-fee687f01e2f,Soccer,Team_4,Youth,Forward,,False,bio,64,2025-05-07,,
8f84cc1e-a4a6-4e70-95fd-8b406157bfd8,a4fd7598-1972-406f-a03c-a8757502b5e9,Basketball,Team_5,Youth,Forward,,False,bio,87,2025-02-15,,
05c833ae-9c4d-495f-a743-c23cde6e0d83,dd4ef8b0-906a-4576-8632-efc2244534eb,Basketball,Team_16,Youth,Forward,,False,bio,64,2025-09-24,,
3be52f7f-9490-46a2-9372-757fe9f0d896,879a9fdb-856c-4c70-b299-614cf8b269f1,Football,Team_16,Youth,Forward,,False,bio,89,2025-06-17,,
70d79419-0cb9-4ca1-86ae-ad0a2191e387,6befc4f1-802d-43d4-8e0b-b0d5476b5802,Football,Team_7,Youth,Forward,,False,bio,100,2025-03-27,,
78ae857d-0ad1-4179-9261-9c0eef2c7f98,796c8bf8-9595-4928-8634-77232f3a6638,Soccer,Team_6,Youth,Forward,,False,bio,93,2025-09-01,,
2b0aa866-97fd-4726-a566-75adbc0bfcc0,efcb8dbc-4307-47aa-b02a-312537f4223a,Football,Team_8,Youth,Forward,,False,bio,77,2025-03-21,,
418b373f-5120-4696-81af-3d7329e4e206,d7f66bf5-c562-41a0-96be-570ee8fa582d,Football,Team_14,Youth,Forward,,False,bio,81,2025-01-17,,
838c8d64-0408-4cae-9b55-7e4b19473d65,a2587dfb-fb67-422c-9061-20949d68c152,Football,Team_7,Youth,Forward,,False,bio,54,2025-07-27,,
65d9fd2b-bff9-4087-af54-00435b4192d9,07223c32-e65d-4617-a698-aefc62bacc90,Soccer,Team_2,Youth,Forward,,False,bio,63,2025-06-20,,
ec280a6f-5370-4867-a414-9035e038c360,0d68b1e9-c0bc-4a3b-8758-697354c5848e,Football,Team_16,Youth,Forward,,False,bio,64,2025-07-31,,
d1664d62-663d-4b1a-a071-d6dfbd4eb758,9ed7544f-65c0-47ef-9d78-c2441ea4e769,Football,Team_18,Youth,Forward,,False,bio,70,2025-06-27,,
7efd8050-726c-48f2-911a-ff0ae7e9db0c,4d75eafd-5afa-45df-9405-dbff615c29ac,Basketball,Team_18,Youth,Forward,,False,bio,91,2025-10-29,,
16a868a3-303d-4cdc-8772-077b9e59affb,ab473e4c-eac7-4f5e-bc79-c5415a60f009,Football,Team_9,Youth,Forward,,False,bio,55,2025-01-06,,
2741ac32-87fb-419d-baa8-ea9a4a13559f,fe24ebdf-f961-4336-b986-120b606e0f73,Football,Team_10,Youth,Forward,,False,bio,82,2025-11-01,,
356cc07a-a2e7-4fc0-8860-2439157cdb33,1b6312ad-8aca-423e-9a3b-c1d16a61b83a,Basketball,Team_14,Youth,Forward,,False,bio,99,2025-04-18,,
7bf92559-a507-49cf-aad4-e7daae737a16,fa33fb6c-f908-4c3c-aa85-785d5a975c65,Basketball,Team_8,Youth,Forward,,False,bio,60,2025-01-24,,
f8c35247-d8df-4da3-96e1-cb8d7849b745,5566cc61-2a2c-4a1e-8593-ed7290526a41,Soccer,Team_11,Youth,Forward,,False,bio,85,2025-09-16,,
d4e17616-fd6f-4d6d-8420-eac53627f6d2,576597dd-6f3e-4080-a169-0ef361f9a1e4,Basketball,Team_7,Youth,Forward,,False,bio,82,2025-08-30,,
3380224a-6504-4225-bbd4-3d160005013b,fa3806a0-3e52-4fb2-aced-b17cc11f530d,Soccer,Team_14,Youth,Forward,,False,bio,67,2025-03-02,,
58de9b0d-4a6b-4f47-b964-6d870f7ac9b2,f9a364c8-f5ca-455f-9b3e-a30222254e3f,Football,Team_5,Youth,Forward,,False,bio,52,2025-06-23,,
c0ea83a5-f861-48b0-aaf1-03be0f1193f4,04d0257e-252d-4789-812c-49fc54899450,Soccer,Team_8,Youth,Forward,,False,bio,70,2025-01-02,,
5bf27cab-4c7f-4cb0-b1ca-2b0c90393976,b5263c1e-d565-4d46-a40a-51bf600831c4,Basketball,Team_18,Youth,Forward,,False,bio,62,2025-07-04,,
c5301036-484f-46c3-8abb-860e0832aa03,69a0f0ab-37e6-49f8-a8c1-63ba5c34bda6,Basketball,Team_1,Youth,Forward,,False,bio,74,2025-07-29,,
4f248cfa-e7b4-4eb3-af64-debb7d905e5b,73df1238-e236-42d9-bcef-60b2ce5859ae,Basketball,Team_11,Youth,Forward,,False,bio,73,2025-04-29,,
f9de050a-6432-4348-9137-6d7ca7ae3062,fcdc7191-53bd-4807-8ed1-a1661dc66c4d,Football,Team_9,Youth,Forward,,False,bio,54,2025-05-12,,
214b8b68-11f7-49ea-ad16-df03fa519e2f,6d2d578c-94ae-492f-b72c-0033d4923f6d,Football,Team_9,Youth,Forward,,False,bio,68,2025-02-21,,
6cfb2bc7-e230-48e0-9b1f-9d5fa8631c87,5625b3a2-08d9-46a4-a6a9-77b6d4975957,Football,Team_14,Youth,Forward,,False,bio,72,2025-07-24,,
578a7055-af2c-4026-ac7f-1f7e22a5a42e,ac625e0a-d434-4358-923d-d7a667630a30,Football,Team_6,Youth,Forward,,False,bio,71,2025-04-30,,
6e204c5e-e0ff-4bea-9dc3-5365ff4aa5c8,a0302df5-a7a1-49d8-9fa0-e7f50d237701,Basketball,Team_6,Youth,Forward,,False,bio,75,2025-02-19,,
5211537b-237d-40e2-ad11-eb107be9977b,606011da-0f65-4c29-8816-2ba9d89e9c6f,Basketball,Team_12,Youth,Forward,,False,bio,77,2025-10-26,,
88919ca0-1b5c-4596-8e8c-05ccbbbd8cfb,d241f407-e7c9-4757-9704-8e846a3dc269,Basketball,Team_16,Youth,Forward,,False,bio,57,2025-04-04,,
bba5d49e-8863-4d1c-a83c-44b0fbc276dd,adf7f001-828e-41ef-99c2-8bc0e6c6ed99,Football,Team_8,Youth,Forward,,False,bio,75,2025-03-28,,
787cd621-4576-433f-a37b-60a84a58ac43,efc784f5-5dd8-46be-a899-571c2185bffe,Football,Team_5,Youth,Forward,,False,bio,59,2025-09-22,,
2c774c86-ea4c-4778-bc00-eca3cf77e9e3,060a6ef2-af68-4b90-b91d-a5a183090b04,Soccer,Team_18,Youth,Forward,,False,bio,61,2025-02-23,,
2f240fdc-8bd9-4318-915a-1af858eebc51,96806fa0-ee9b-4be7-b673-89d330e11242,Basketball,Team_5,Youth,Forward,,False,bio,73,2025-08-22,,
65bf5046-65aa-41e3-9ffb-1820707d116b,51c319cb-34ca-41d6-bafe-9a570486a02e,Basketball,Team_14,Youth,Forward,,False,bio,82,2025-10-17,,
28a55c52-11ce-4806-aeab-6690cde7414f,fe5547c8-4185-4b36-9501-592960e4002e,Soccer,Team_20,Youth,Forward,,False,bio,71,2025-01-14,,
598e667f-f0a6-484f-9e0d-baa208870c54,100fd8c5-b673-4b72-a529-7b93a8b4115f,Soccer,Team_11,Youth,Forward,,False,bio,73,2025-11-03,,
075f9070-14d2-465d-b4bb-75a642d0c76e,aab6d197-faf8-4c08-bc08-3e3734194670,Soccer,Team_4,Youth,Forward,,False,bio,87,2025-03-29,,
7092dcd6-71f4-4e3c-ba36-83c7afe4b27f,750d3add-2b61-4e56-8266-d217f56762ce,Football,Team_14,Youth,Forward,,False,bio,65,2025-06-10,,
7ae93e53-a178-47fb-ad5f-cbc716dd595b,c0ce66a4-51ce-4d73-a990-7c8fe4d3b7bb,Football,Team_10,Youth,Forward,,False,bio,75,2025-06-15,,
0f482c67-1be7-4743-b2d8-8ce87c1a5b8f,3c75cf8f-83e5-44d8-95bf-652187898624,Soccer,Team_1,Youth,Forward,,False,bio,66,2025-02-27,,
575f03d2-9c35-4c25-b74f-e9d214386412,808eafa5-3692-404a-b36f-16327a6f0ba8,Football,Team_2,Youth,Forward,,False,bio,84,2025-04-28,,
7f8752cd-377e-408b-adc8-88ea1072d16f,03a5b4fa-23ea-4ded-9a85-e448728e58f6,Basketball,Team_8,Youth,Forward,,False,bio,68,2025-07-31,,
cdfe35a0-6eaf-48d2-8921-4a18a917c23d,88edbd9e-bb18-412f-a2a7-b940264075e2,Basketball,Team_19,Youth,Forward,,False,bio,66,2025-06-29,,
6349eb43-aae4-4a3f-b1ef-78747d22ec28,0f679d47-7d15-4dc6-822d-95043ba1bdf6,Football,Team_3,Youth,Forward,,False,bio,56,2025-07-25,,
89dcb07b-9b82-4a2b-9e30-8c618a0d0e98,e89d7bbd-74ac-4e06-82be-598e96a9ee03,Basketball,Team_9,Youth,Forward,,False,bio,67,2025-05-10,,
3d2b4647-e8df-4641-ac91-a3667baa05f0,34ae3ccb-d99b-4efa-94f2-7c89c003bff0,Basketball,Team_16,Youth,Forward,,False,bio,90,2025-06-17,,
277d7aa6-6ba8-44b6-92d6-886731f6f7ef,33d3aa1e-8593-4518-b60d-23a07bf564cb,Football,Team_19,Youth,Forward,,False,bio,61,2025-04-25,,
